"","firstname","count","taux_sm","taux_ab","taux_b","taux_tb","taux_fel"
"1","A",2,0.5,0.5,0,0,0
"2","A'lycia",1,1,0,0,0,0
"3","Aac",1,1,0,0,0,0
"4","Aacha",1,0,0,1,0,0
"5","Aachach",1,1,0,0,0,0
"6","Aaliyah",14,0.285714285714286,0.357142857142857,0.214285714285714,0.0714285714285714,0.0714285714285714
"7","Aalya",1,0,0,1,0,0
"8","Aalyah",2,0,0,0,1,0
"9","Aanasse",1,1,0,0,0,0
"10","Aani",1,0,0,1,0,0
"11","Aanor",2,0,0,0.5,0.5,0
"12","Aarab",1,0,0,1,0,0
"13","Aaricia",1,0,0,0,1,0
"14","Aaron",330,0.266666666666667,0.287878787878788,0.272727272727273,0.133333333333333,0.0393939393939394
"15","Aarone",2,0,0.5,0.5,0,0
"16","Aarön",1,0,0,0,1,0
"17","Aashna",1,0,0,0,0,1
"18","Aaya",1,0,0,1,0,0
"19","Aazada",2,1,0,0,0,0
"20","Abadie",2,0,0,1,0,0
"21","Abakar",4,0.25,0,0.75,0,0
"22","Abalain",1,0,1,0,0,0
"23","Abarna",1,0,0,0,1,0
"24","Abas",1,1,0,0,0,0
"25","Abatouta",1,0,1,0,0,0
"26","Abba",1,0,1,0,0,0
"27","Abba-Boulbair",1,0,1,0,0,0
"28","Abbas",1,0,0,0,1,0
"29","Abbassi",1,0,1,0,0,0
"30","Abbes",2,0,0.5,0,0,0.5
"31","Abbi",1,1,0,0,0,0
"32","Abbie",1,0,0,1,0,0
"33","Abbigaël",1,0,0,1,0,0
"34","Abbigaëlle",1,0,0,1,0,0
"35","Abbo",1,0,0,1,0,0
"36","Abby",27,0.0740740740740741,0.333333333333333,0.444444444444444,0.111111111111111,0.037037037037037
"37","Abby-Gaelle",1,0,0,0,1,0
"38","Abby-Gaëlle",11,0.0909090909090909,0.363636363636364,0.272727272727273,0.272727272727273,0
"39","Abbye",2,0,0,0,0,1
"40","Abbygael",1,1,0,0,0,0
"41","Abbygaelle",5,0,0,0.8,0.2,0
"42","Abbygaël",5,0,0.4,0.4,0.2,0
"43","Abbygaëlle",17,0.235294117647059,0.235294117647059,0.176470588235294,0.294117647058824,0.0588235294117647
"44","Abbygaïl",1,0,0,1,0,0
"45","Abd'allah",1,0,0,0,1,0
"46","Abd-Allah",1,0,1,0,0,0
"47","Abda",1,0,0,1,0,0
"48","Abdalhadi",1,0,0,1,0,0
"49","Abdalla",1,0,1,0,0,0
"50","Abdallah",19,0.473684210526316,0.315789473684211,0,0.210526315789474,0
"51","Abdallaoui",1,0,0,0,0,1
"52","Abdaoui",2,0,1,0,0,0
"53","Abdarrahman",1,0,1,0,0,0
"54","Abdel",10,0.4,0.2,0.4,0,0
"55","Abdel-Azziz",1,0,0,1,0,0
"56","Abdel-Djalil",1,0,1,0,0,0
"57","Abdel-Hakim",2,0.5,0.5,0,0,0
"58","Abdel-Hamid",1,0,0,1,0,0
"59","Abdel-Jalil",3,0,1,0,0,0
"60","Abdel-Kader",3,0.666666666666667,0.333333333333333,0,0,0
"61","Abdel-Karim",2,0.5,0,0.5,0,0
"62","Abdel-Malik",3,0,0,0.666666666666667,0.333333333333333,0
"63","Abdel-Matyn",1,1,0,0,0,0
"64","Abdel-Samad",1,0,1,0,0,0
"65","Abdel-Wahid",1,0,1,0,0,0
"66","Abdelali",1,0,0,1,0,0
"67","Abdelatif",1,0,0,1,0,0
"68","Abdelaziz",2,0.5,0,0.5,0,0
"69","Abdelbast",1,1,0,0,0,0
"70","Abdeldjalil",3,0,1,0,0,0
"71","Abdelghaffar",1,1,0,0,0,0
"72","Abdelhadi",5,0.4,0.4,0.2,0,0
"73","Abdelhakim",3,0,0.666666666666667,0.333333333333333,0,0
"74","Abdelhamid",3,0.333333333333333,0.333333333333333,0.333333333333333,0,0
"75","Abdelhedi",1,0,1,0,0,0
"76","Abdelilah",1,0,0,1,0,0
"77","Abdelillah",2,0,0.5,0,0.5,0
"78","Abdeljabbar",1,1,0,0,0,0
"79","Abdeljalil",2,0,1,0,0,0
"80","Abdelkader",7,0.285714285714286,0.428571428571429,0.142857142857143,0.142857142857143,0
"81","Abdelkarim",3,0,0,0.333333333333333,0.666666666666667,0
"82","Abdelkrim",3,0,0,0.333333333333333,0.666666666666667,0
"83","Abdellah",11,0.0909090909090909,0.272727272727273,0.545454545454545,0.0909090909090909,0
"84","Abdellah-Hakim",2,0,1,0,0,0
"85","Abdellatif",2,1,0,0,0,0
"86","Abdellilah",1,1,0,0,0,0
"87","Abdelmaalik",1,0,0,0,1,0
"88","Abdelmadjid",2,0.5,0.5,0,0,0
"89","Abdelmajid",1,0,1,0,0,0
"90","Abdelmalek",2,0.5,0,0.5,0,0
"91","Abdelmalik",7,0.142857142857143,0.285714285714286,0.285714285714286,0.142857142857143,0.142857142857143
"92","Abdelmatine",2,0,0,0,0,1
"93","Abdelmoujoud",1,0,0,0,0,1
"94","Abdelnour",2,0.5,0.5,0,0,0
"95","Abdelouhab",1,0,0,1,0,0
