Unnamed: 0,firstname,count,taux_sm,taux_ab,taux_b,taux_tb,taux_fel,Traditionnel,Moderne,Inventé,Européen,Musulman,Africain,Asiatique
1,A,2,0.5,0.5,0.0,0.0,0.0,0,0,1,0,0,0,0
2,A'LYCIA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
3,AAC,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4,AACHA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
5,AACHACH,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
6,AALIYAH,14,0.285714285714286,0.357142857142857,0.214285714285714,0.0714285714285714,0.0714285714285714,0,0,0,0,1,0,0
7,AALYA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
8,AALYAH,2,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0
9,AANASSE,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
10,AANI,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
11,AANOR,2,0.0,0.0,0.5,0.5,0.0,0,0,0,0,1,0,0
12,AARAB,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
13,AARICIA,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0
14,AARON,330,0.266666666666667,0.287878787878788,0.272727272727273,0.133333333333333,0.0393939393939394,0,0,0,1,0,0,0
15,AARONE,2,0.0,0.5,0.5,0.0,0.0,0,0,1,0,0,0,0
16,AARÖN,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
17,AASHNA,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
18,AAYA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
19,AAZADA,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
20,ABADIE,2,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
21,ABAKAR,4,0.25,0.0,0.75,0.0,0.0,0,0,0,0,1,1,0
22,ABALAIN,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
23,ABARNA,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0
24,ABAS,1,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
25,ABATOUTA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
26,ABBA,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
27,ABBA-BOULBAIR,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
28,ABBAS,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0
29,ABBASSI,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
30,ABBES,2,0.0,0.5,0.0,0.0,0.5,0,0,0,0,1,0,0
31,ABBI,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
32,ABBIE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0
33,ABBIGAËL,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
34,ABBIGAËLLE,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
35,ABBO,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
36,ABBY,27,0.0740740740740741,0.333333333333333,0.444444444444444,0.111111111111111,0.037037037037037,0,0,0,1,0,0,0
37,ABBY-GAELLE,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
38,ABBY-GAËLLE,11,0.0909090909090909,0.363636363636364,0.272727272727273,0.272727272727273,0.0,0,0,1,0,0,0,0
39,ABBYE,2,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
40,ABBYGAEL,1,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
41,ABBYGAELLE,5,0.0,0.0,0.8,0.2,0.0,0,0,1,0,0,0,0
42,ABBYGAËL,5,0.0,0.4,0.4,0.2,0.0,0,0,1,0,0,0,0
43,ABBYGAËLLE,17,0.235294117647059,0.235294117647059,0.176470588235294,0.294117647058824,0.0588235294117647,0,0,1,0,0,0,0
44,ABBYGAÏL,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
45,ABD'ALLAH,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0
46,ABD-ALLAH,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
47,ABDA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
48,ABDALHADI,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
49,ABDALLA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
50,ABDALLAH,19,0.473684210526316,0.315789473684211,0.0,0.210526315789474,0.0,0,0,0,0,1,0,0
51,ABDALLAOUI,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
52,ABDAOUI,2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
53,ABDARRAHMAN,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
54,ABDEL,10,0.4,0.2,0.4,0.0,0.0,0,0,0,0,1,0,0
55,ABDEL-AZZIZ,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
56,ABDEL-DJALIL,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
57,ABDEL-HAKIM,2,0.5,0.5,0.0,0.0,0.0,0,0,0,0,1,0,0
58,ABDEL-HAMID,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
59,ABDEL-JALIL,3,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
60,ABDEL-KADER,3,0.666666666666667,0.333333333333333,0.0,0.0,0.0,0,0,0,0,1,0,0
61,ABDEL-KARIM,2,0.5,0.0,0.5,0.0,0.0,0,0,0,0,1,0,0
62,ABDEL-MALIK,3,0.0,0.0,0.666666666666667,0.333333333333333,0.0,0,0,0,0,1,0,0
63,ABDEL-MATYN,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
64,ABDEL-SAMAD,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
65,ABDEL-WAHID,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
66,ABDELALI,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
67,ABDELATIF,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
68,ABDELAZIZ,2,0.5,0.0,0.5,0.0,0.0,0,0,0,0,1,0,0
69,ABDELBAST,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
70,ABDELDJALIL,3,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
